assemblea,codice,tipo,tipo_riga,cand_descr_riga,img_lista,descr_lista,link_cand_lista,voti,perc,eletto,perc_voti_liste,cifra_el,perc_cifra_el,seggi
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,395.537,"35,70",,,395.537,"35,70",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11367-0.png,LEGA,,205.143,"19,29",,,205.143,"19,29",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-1112-0.png,FORZA ITALIA,,138.226,"12,99",,,138.226,"12,99",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,36.715,"3,45",,,36.715,"3,45",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,6.197,"0,58",,,6.197,"0,58",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,310.931,"28,06",,,310.931,"28,06",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,293.828,"27,63",,,293.828,"27,63",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,310.756,"28,05",,,310.756,"28,05",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,242.879,"22,84",,,242.879,"22,84",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11403-0.png,+EUROPA,,47.492,"4,46",,,47.492,"4,46",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,4.411,"0,41",,,4.411,"0,41",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,4.261,"0,40",,,4.261,"0,40",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,50.020,"4,51",,,50.020,"4,51",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11393-0.png,LIBERI E UGUALI,,46.276,"4,35",,,46.276,"4,35",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,13.547,"1,22",,,13.547,"1,22",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11372-0.png,POTERE AL POPOLO!,,12.819,"1,20",,,12.819,"1,20",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,9.889,"0,89",,,9.889,"0,89",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11003-0.png,CASAPOUND ITALIA,,9.247,"0,86",,,9.247,"0,86",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,7.284,"0,65",,,7.284,"0,65",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,6.789,"0,63",,,6.789,"0,63",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,3.632,"0,32",,,3.632,"0,32",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11388-0.png,ITALIA AGLI ITALIANI,,3.378,"0,31",,,3.378,"0,31",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,3.401,"0,30",,,3.401,"0,30",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11381-0.png,PARTITO VALORE UMANO,,3.204,"0,30",,,3.204,"0,30",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,1.863,"0,16",,,1.863,"0,16",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11371-0.png,GRANDE NORD,,1.668,"0,15",,,1.668,"0,15",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,876,"0,07",,,876,"0,07",-
Senato,01100000000,circoscrizione,LI,,25-20180304000000-11418-0.png,PARTITO REPUBBLICANO ITALIANO - ALA,,780,"0,07",,,780,"0,07",-
Senato,01100000000,circoscrizione,XX,,,,,,,,,,,
Senato,01100000000,circoscrizione,TU,Uninominale,,,,1.107.736,"100,00",,,1.107.736,"100,00",0
Senato,01100000000,circoscrizione,TP,Proporzionale,,,,1.063.313,"100,00",,,1.063.313,"100,00",0
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,489.014,"46,68",,,489.014,"46,68",2
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11367-0.png,LEGA,,274.891,"26,69",,,274.891,"26,69",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-1112-0.png,FORZA ITALIA,,158.778,"15,41",,,158.778,"15,41",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,42.434,"4,12",,,42.434,"4,12",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,8.045,"0,78",,,8.045,"0,78",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,251.290,"23,98",,,251.290,"23,98",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,244.825,"23,77",,,244.825,"23,77",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,238.053,"22,72",,,238.053,"22,72",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,195.225,"18,95",,,195.225,"18,95",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11403-0.png,+EUROPA,,31.039,"3,01",,,31.039,"3,01",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,4.306,"0,41",,,4.306,"0,41",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,3.264,"0,31",,,3.264,"0,31",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,29.992,"2,86",,,29.992,"2,86",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11393-0.png,LIBERI E UGUALI,,29.054,"2,82",,,29.054,"2,82",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,10.143,"0,96",,,10.143,"0,96",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11003-0.png,CASAPOUND ITALIA,,9.817,"0,95",,,9.817,"0,95",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,8.700,"0,83",,,8.700,"0,83",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11372-0.png,POTERE AL POPOLO!,,8.465,"0,82",,,8.465,"0,82",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,6.664,"0,63",,,6.664,"0,63",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,6.448,"0,62",,,6.448,"0,62",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,6.502,"0,62",,,6.502,"0,62",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11388-0.png,ITALIA AGLI ITALIANI,,6.324,"0,61",,,6.324,"0,61",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,3.538,"0,33",,,3.538,"0,33",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11381-0.png,PARTITO VALORE UMANO,,3.450,"0,33",,,3.450,"0,33",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,2.754,"0,26",,,2.754,"0,26",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11371-0.png,GRANDE NORD,,2.676,"0,25",,,2.676,"0,25",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,838,"0,08",,,838,"0,08",-
Senato,01200000000,circoscrizione,LI,,25-20180304000000-11418-0.png,PARTITO REPUBBLICANO ITALIANO - ALA,,780,"0,07",,,780,"0,07",-
Senato,01200000000,circoscrizione,XX,,,,,,,,,,,
Senato,01200000000,circoscrizione,TU,Uninominale,,,,1.047.488,"100,00",,,1.047.488,"100,00",2
Senato,01200000000,circoscrizione,TP,Proporzionale,,,,1.029.821,"100,00",,,1.029.821,"100,00",2
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,356.422,"47,44",,,356.422,"47,44",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11367-0.png,LEGA,,211.127,"28,95",,,211.127,"28,95",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-1112-0.png,FORZA ITALIA,,103.310,"14,16",,,103.310,"14,16",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,29.887,"4,09",,,29.887,"4,09",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,5.502,"0,75",,,5.502,"0,75",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,175.655,"23,38",,,175.655,"23,38",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,148.952,"20,42",,,148.952,"20,42",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11403-0.png,+EUROPA,,15.663,"2,14",,,15.663,"2,14",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,3.153,"0,43",,,3.153,"0,43",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,2.917,"0,40",,,2.917,"0,40",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,169.396,"22,54",,,169.396,"22,54",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,161.840,"22,19",,,161.840,"22,19",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,20.069,"2,67",,,20.069,"2,67",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11393-0.png,LIBERI E UGUALI,,18.692,"2,56",,,18.692,"2,56",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,9.417,"1,25",,,9.417,"1,25",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11003-0.png,CASAPOUND ITALIA,,8.979,"1,23",,,8.979,"1,23",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,6.655,"0,88",,,6.655,"0,88",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11388-0.png,ITALIA AGLI ITALIANI,,6.350,"0,87",,,6.350,"0,87",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,5.567,"0,74",,,5.567,"0,74",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11372-0.png,POTERE AL POPOLO!,,5.251,"0,72",,,5.251,"0,72",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,5.173,"0,68",,,5.173,"0,68",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,4.786,"0,65",,,4.786,"0,65",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,2.016,"0,26",,,2.016,"0,26",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11377-0.png,PER UNA SINISTRA RIVOLUZIONARIA,,1.887,"0,25",,,1.887,"0,25",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,892,"0,11",,,892,"0,11",-
Senato,03100000000,circoscrizione,LI,,25-20180304000000-11418-0.png,PARTITO REPUBBLICANO ITALIANO - ALA,,802,"0,10",,,802,"0,10",-
Senato,03100000000,circoscrizione,XX,,,,,,,,,,,
Senato,03100000000,circoscrizione,TU,Uninominale,,,,751.262,"100,00",,,751.262,"100,00",0
Senato,03100000000,circoscrizione,TP,Proporzionale,,,,729.098,"100,00",,,729.098,"100,00",0
Senato,03200000000,circoscrizione,CU,CANDIDATI UNINOMINALI,,,,562.171,"52,90",,,562.171,"52,90",-
Senato,03200000000,circoscrizione,LI,,25-20180304000000-11367-0.png,LEGA,,361.229,"34,77",,,361.229,"34,77",-
Senato,03200000000,circoscrizione,LI,,25-20180304000000-1112-0.png,FORZA ITALIA,,138.176,"13,30",,,138.176,"13,30",-
