assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,05240120970,ESERCIZIO,3102,2431,"78,36",Dato aggiornato al 05/03/2018 - 06:49,3,3,,,,36,86,0,C,
scrutiniCI,05240121010,ESERCIZIO,2520,2037,"80,83",Dato aggiornato al 05/03/2018 - 05:31,3,3,,,,47,86,0,C,
scrutiniCI,05240121080,ESERCIZIO,4285,3536,"82,52",Dato aggiornato al 05/03/2018 - 04:59,4,4,,,,69,128,0,C,
scrutiniCI,05240121170,ESERCIZIO,500,414,"82,80",Dato aggiornato al 05/03/2018 - 04:55,1,1,,,,3,25,0,C,
scrutiniCI,05240121280,ESERCIZIO,7304,5881,"80,51",Dato aggiornato al 05/03/2018 - 12:02,7,7,,,,76,182,0,C,
scrutiniCI,05240121300,ESERCIZIO,2229,1787,"80,17",Dato aggiornato al 05/03/2018 - 05:11,2,2,,,,24,51,7,C,
scrutiniCI,05240121330,ESERCIZIO,1948,1549,"79,51",Dato aggiornato al 05/03/2018 - 04:30,2,2,,,,27,53,0,C,
scrutiniCI,05240121340,ESERCIZIO,2067,1666,"80,59",Dato aggiornato al 05/03/2018 - 05:55,2,2,,,,25,62,0,C,
scrutiniCI,05240121350,ESERCIZIO,3416,2801,"81,99",Dato aggiornato al 05/03/2018 - 05:03,4,4,,,,46,110,0,C,
scrutiniCI,05240121460,ESERCIZIO,1576,1274,"80,83",Dato aggiornato al 05/03/2018 - 07:13,2,2,,,,24,45,0,C,
scrutiniCI,05240121490,ESERCIZIO,4210,3409,"80,97",Dato aggiornato al 05/03/2018 - 04:27,4,4,,,,61,117,0,C,
scrutiniCI,05240121660,ESERCIZIO,1230,1006,"81,78",Dato aggiornato al 05/03/2018 - 05:58,2,2,,,,17,37,0,C,
scrutiniCI,05240121730,ESERCIZIO,13556,10687,"78,83",Dato aggiornato al 05/03/2018 - 05:25,15,15,,,,161,337,2,C,
scrutiniCI,05240122080,ESERCIZIO,812,643,"79,18",Dato aggiornato al 05/03/2018 - 05:34,1,1,,,,13,26,0,C,
scrutiniCI,05240150062,ESERCIZIO,2300,1927,"83,78",Dato aggiornato al 05/03/2018 - 08:03,3,3,,,,24,66,0,C,
scrutiniCI,05240150070,ESERCIZIO,9296,7343,"78,99",Dato aggiornato al 05/03/2018 - 06:17,11,11,,,,103,181,0,C,
scrutiniCI,05240150090,ESERCIZIO,1755,1465,"83,47",Dato aggiornato al 05/03/2018 - 07:23,3,3,,,,22,40,0,C,
scrutiniCI,05240150100,ESERCIZIO,1638,1399,"85,40",Dato aggiornato al 05/03/2018 - 04:54,2,2,,,,34,53,0,C,
scrutiniCI,05240150170,ESERCIZIO,3862,3067,"79,41",Dato aggiornato al 05/03/2018 - 05:21,4,4,,,,58,92,0,C,
scrutiniCI,05240150230,ESERCIZIO,1217,963,"79,12",Dato aggiornato al 05/03/2018 - 06:20,2,2,,,,17,28,0,C,
scrutiniCI,05240150330,ESERCIZIO,3423,2814,"82,20",Dato aggiornato al 05/03/2018 - 04:57,5,5,,,,40,89,0,C,
scrutiniCI,05240150480,ESERCIZIO,1186,963,"81,19",Dato aggiornato al 05/03/2018 - 03:08,2,2,,,,17,22,0,C,
scrutiniCI,05240150590,ESERCIZIO,1084,871,"80,35",Dato aggiornato al 05/03/2018 - 05:45,2,2,,,,19,64,0,C,
scrutiniCI,05240150610,ESERCIZIO,4067,3276,"80,55",Dato aggiornato al 05/03/2018 - 05:01,5,5,,,,38,97,0,C,
scrutiniCI,05240150810,ESERCIZIO,10290,8207,"79,75",Dato aggiornato al 05/03/2018 - 07:17,11,11,,,,124,255,0,C,
scrutiniCI,05240150860,ESERCIZIO,490,413,"84,28",Dato aggiornato al 05/03/2018 - 03:19,1,1,,,,6,12,0,C,
scrutiniCI,05240150920,ESERCIZIO,2367,1944,"82,12",Dato aggiornato al 05/03/2018 - 05:48,3,3,,,,23,53,0,C,
scrutiniCI,05240150960,ESERCIZIO,9586,7562,"78,88",Dato aggiornato al 05/03/2018 - 05:44,12,12,,,,101,206,0,C,
scrutiniCI,05240151051,ESERCIZIO,3755,3146,"83,78",Dato aggiornato al 05/03/2018 - 08:05,4,4,,,,55,85,0,C,
