codice,cand_descr_riga,voti,perc
01110000000,MARIA VIRGINIA TIRABOSCHI,119610,"39,49"
01120000000,MARZIA CASOLATI,109664,"37,61"
01130000000,ROBERTA FERRERO,89024,"32,41"
01140000000,MAURO ANTONIO DONATO LAUS,105829,"33,63"
01210000000,GAETANO NASTRI,127634,"46,41"
01220000000,GILBERTO PICHETTO FRATIN,116153,"46,97"
01230000000,MASSIMO VITTORIO BERUTTI,119597,"45,22"
01240000000,MARCO PEROSINO,144432,"47,89"
02010000000,ALBERT LANIÈCE,15958,"25,76"
03110000000,GIAN MARCO CENTINAIO,137911,"49,54"
03120000000,DANIELA GARNERO SANTANCHE',146541,"48,12"
03130000000,ISABELLA RAUTI,119726,"44,42"
03210000000,MARIA ALESSANDRA GALLONE,173678,"52,35"
03220000000,SIMONA PERGREFFI,149776,"55,88"
03230000000,ADRIANO PAROLI,135094,"47,85"
03240000000,STEFANO BORGHESI,160864,"56,21"
03310000000,ANTONELLA FAGGI,125326,"51,00"
03320000000,LICIA RONZULLI,145222,"56,80"
03330000000,ERICA RIVOLTA,158463,"48,50"
03340000000,STEFANO CANDIANI,148707,"49,26"
03410000000,TOMMASO CERNO,98425,"41,25"
03420000000,MARIA CRISTINA CANTU',110690,"38,37"
03430000000,SALVATORE SCIASCIA,110143,"41,91"
03440000000,IGNAZIO LA RUSSA,137793,"44,51"
03510000000,EMANUELE PELLEGRINI,126034,"41,18"
03520000000,STEFANIA GABRIELLA ANASTASIA CRAXI,142960,"46,79"
03530000000,PAOLO ROMANI,134597,"41,13"
04110000000,GIANCLAUDIO BRESSA,36615,"43,03"
04120000000,JULIANE UNTERBERGER,37806,"61,08"
04130000000,MEINHARD DURNWALDER,51670,"66,54"
04140000000,ANDREA DE BERTOLDI,46479,"37,58"
04150000000,DONATELLA CONZATTI,36232,"37,42"
04160000000,ELENA TESTOR,29982,"45,31"
05110000000,MARIA ELISABETTA ALBERTI CASELLATI,118877,"41,89"
05120000000,SONIA FREGOLENT,165678,"50,67"
05130000000,MASSIMO CANDURA,140622,"48,94"
05140000000,ROBERTA TOFFANIN,122802,"44,83"
05210000000,ANTONIO DE POLI,152482,"44,94"
05220000000,NICCOLO' GHEDINI,178948,"51,98"
05230000000,ERIKA STEFANI,150702,"50,02"
05240000000,PAOLO TOSATO,115772,"46,23"
05250000000,STEFANO BERTACCO,126672,"54,04"
06110000000,LAURA STABILE,100096,"39,40"
06120000000,LUCA CIRIANI,181546,"46,58"
07110000000,PAOLO RIPAMONTI,114589,"42,51"
07120000000,MATTIA CRUCIOLI,82690,"33,52"
07130000000,STEFANIA PUCCIARELLI,114714,"39,97"
08110000000,ANTONIO BARBONI,105774,"34,36"
08120000000,STEFANO COLLINA,96576,"32,54"
08130000000,ALBERTO BALBONI,117422,"34,35"
08140000000,PIER FERDINANDO CASINI,121898,"34,15"
08210000000,EDOARDO PATRIARCA,85533,"31,80"
08220000000,VANNA IORI,84575,"32,89"
08230000000,MARIA SAPONARA,89858,"32,16"
08240000000,PIETRO PISANI,115938,"46,00"
09110000000,MATTEO RENZI,109830,"43,89"
09120000000,DARIO PARRINI,119532,"40,73"
09130000000,PATRIZIO GIACOMO LA PIETRA,98931,"35,69"
09140000000,MASSIMO MALLEGNI,116061,"38,69"
09210000000,RICCARDO NENCINI,100360,"34,97"
09220000000,ROSELLINA SBRANA,91577,"32,75"
09230000000,ROBERTO BERARDI,99851,"33,23"
10110000000,FRANCESCO ZAFFINI,91461,"36,13"
10120000000,DONATELLA TESEI,85065,"38,54"
11110000000,DONATELLA AGOSTINELLI,93803,"35,63"
11120000000,MAURO COLTORTI,93601,"33,07"
11130000000,GIORGIO FEDE,101970,"37,04"
12110000000,EMMA BONINO,111113,"38,93"
12120000000,PAOLA TAVERNA,86787,"34,51"
12130000000,PAOLA BINETTI,93776,"30,44"
12210000000,PIERPAOLO SILERI,93971,"32,97"
12220000000,FRANCESCO BATTISTONI,118557,"39,85"
12230000000,UMBERTO FUSCO,104320,"38,08"
12310000000,MASSIMO RUSPANDINI,103890,"40,16"
12320000000,GIULIA LUPO,119060,"39,47"
12330000000,CLAUDIO FAZZONE,124123,"43,65"
12340000000,ANTONIO SACCONE,111914,"37,85"
13110000000,PRIMO DI NICOLA,165519,"40,99"
13120000000,GAETANO QUAGLIARIELLO,115630,"39,33"
14110000000,LUIGI DI MARZIO,71067,"44,49"
15110000000,DANILA DE LUCIA,114051,"44,53"
15120000000,VILMA MORONESE,154427,"53,00"
15130000000,UGO GRASSI,107293,"43,86"
15210000000,MARIA DOMENICA CASTELLONE,140015,"53,42"
15220000000,RAFFAELE MAUTONE,152953,"58,51"
15230000000,FRANCO ORTOLANI,108189,"53,16"
15240000000,PAOLA NUGNES,94134,"49,04"
15310000000,FRANCESCO URRARO,107832,"51,25"
15320000000,VIRGINIA LA MURA,111741,"49,51"
15330000000,ANDREA CIOFFI,123893,"42,53"
15340000000,FRANCESCO CASTIELLO,91937,"38,00"
16110000000,GIANMAURO DELL'OLIO,121706,"46,51"
16120000000,ANGELA ANNA BRUNA PIARULLI,112732,"45,97"
