codice,cand_descr_riga,voti,perc
16130000000,RUGGIERO QUARTO,108043,"45,68"
16140000000,MARCO PELLEGRINI,86577,"43,28"
16210000000,PASQUA L'ABBATE DETTA PATTY,115848,"43,47"
16220000000,IUNIO VALERIO ROMANO,105613,"42,64"
16230000000,BARBARA LEZZI,107722,"39,87"
16240000000,MARIO TURCO,114996,"45,64"
17110000000,SAVERIO DE BONIS,123118,"43,00"
18110000000,MARGHERITA CORRADO,97097,"51,30"
18120000000,NICOLA MORRA,112554,"48,87"
18130000000,GELSOMINA VONO DETTA SILVIA,82283,"39,18"
18140000000,MARCO SICLARI,86440,"39,61"
19110000000,STANISLAO DI PIAZZA DETTO STENI,87301,"43,86"
19120000000,LOREDANA RUSSO,91285,"44,59"
19130000000,FRANCESCO MOLLAME DETTO FRANCO,130699,"48,01"
19140000000,GASPARE ANTONIO MARINELLO DETTO RINO,121832,"52,22"
19150000000,PIETRO LOREFICE,92503,"46,73"
19210000000,GRAZIA D'ANGELO,115199,"43,00"
19220000000,TIZIANA CARMELA ROSARIA DRAGO IN STIVALA,120641,"48,00"
19230000000,NUNZIA CATALFO,132436,"49,53"
19240000000,GIUSEPPE PISANI DETTO PINO,161799,"53,85"
20110000000,GIOVANNI MARILOTTI,131082,"42,01"
20120000000,EMILIANO FENU,106272,"43,25"
20130000000,VITTORIA FRANCESCA MARIA BOGO DELEDDA,103823,"41,25"
