collegioPlurinominale,tipo_riga,cand_descr_riga,img_lista,descr_lista,link_cand_lista,voti,perc,eletto,perc_voti_liste,cifra_el,perc_cifra_el,seggi
01110000000,CA,ANDREA GIORGIS,,,,171,"35,25",,,,,
01110000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,139,"30,21",,,139,"30,21",
01110000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,21,"4,56",,,21,"4,56",
01110000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,4,"0,86",,,4,"0,86",
01110000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,1,"0,21",,,1,"0,21",
01110000000,XX,,,,,,,,,,,
01110000000,CA,MARCO FRANCIA,,,,150,"30,92",,,,,
01110000000,LI,,24-20180304000000-11367-0.png,LEGA,,85,"18,47",,,85,"18,47",
01110000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,40,"8,69",,,40,"8,69",
01110000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,18,"3,91",,,18,"3,91",
01110000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,3,"0,65",,,3,"0,65",
01110000000,XX,,,,,,,,,,,
01110000000,CA,PAOLO TURATI,,,,127,"26,18",,,,,
01110000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,116,"25,21",,,116,"25,21",
01110000000,XX,,,,,,,,,,,
01110000000,CA,MARCO GRIMALDI,,,,19,"3,91",,,,,
01110000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,18,"3,91",,,18,"3,91",
01110000000,XX,,,,,,,,,,,
01110000000,CA,GINO MICHELE DOMENICO ARNONE,,,,7,"1,44",,,,,
01110000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,6,"1,30",,,6,"1,30",
01110000000,XX,,,,,,,,,,,
01110000000,CA,MATTEO SAUDINO,,,,5,"1,03",,,,,
01110000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,3,"0,65",,,3,"0,65",
01110000000,XX,,,,,,,,,,,
01110000000,CA,MARCELLO SALICE,,,,3,"0,61",,,,,
01110000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,3,"0,65",,,3,"0,65",
01110000000,XX,,,,,,,,,,,
01110000000,CA,VITANTONIO COLUCCI,,,,3,"0,61",,,,,
01110000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,3,"0,65",,,3,"0,65",
01110000000,XX,,,,,,,,,,,
01110000000,TU,Uninominale,,,,485,"100,00",,,,,
01110000000,TP,Proporzionale,,,,460,"100,00",,"100,00",,,
01120000000,CA,ELENA CHINAGLIA,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,DOMENICO FIORAVANTI,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,ALBERTO BARONA,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,PATRIZIA ZANDA,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,SILVJA MANZI,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,ACHILLE MARIA ALFONSO RE,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,ROBERTO ROSSO,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01120000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,CA,MASSIMO GABELLA,,,,-,-,,,,,
01120000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01120000000,XX,,,,,,,,,,,
01120000000,TU,Uninominale,,,,-,-,,,,,
01120000000,TP,Proporzionale,,,,-,-,,-,,,
01130000000,CA,ROBERTO PLACIDO,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,PAOLO BIANCONE,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,MARTA ROMITO,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,CARLO CIRULLI,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,PAOLA BRAGANTINI,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,MARIA SALVATI,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,AUGUSTA MONTARULI,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01130000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,CA,ILENA ARGENTO DETTA ILENIA,,,,-,-,,,,,
01130000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01130000000,XX,,,,,,,,,,,
01130000000,TU,Uninominale,,,,-,-,,,,,
01130000000,TP,Proporzionale,,,,-,-,,-,,,
01140000000,CA,STEFANO SCHWARZ,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,ALBERTO SASSO,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,SONIA PATACCHI,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,ROSA MARIA PILATO,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,STEFANO LEPRI,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,FABRIZIO LABATE,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,PAOLO GRECO LUCCHINA,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01140000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,CA,ROSELLA SATALINO,,,,-,-,,,,,
01140000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01140000000,XX,,,,,,,,,,,
01140000000,TU,Uninominale,,,,-,-,,,,,
01140000000,TP,Proporzionale,,,,-,-,,-,,,
01150000000,CA,SILVANA ACCOSSATO,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,CELESTE D'ARRANDO,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,FEDERICO DEPETRIS,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,VINCENZO NAPOLITANO,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,UMBERTO D'OTTAVIO,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,LUCIANELLA PRESTA,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,SARA ZAMBAIA,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01150000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,CA,VALERIA ATTOLICO,,,,-,-,,,,,
01150000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01150000000,XX,,,,,,,,,,,
01150000000,TU,Uninominale,,,,-,-,,,,,
01150000000,TP,Proporzionale,,,,-,-,,-,,,
01210000000,CA,ALESSANDRO MANUEL BENVENUTO,,,,120,"42,25",,,,,
01210000000,LI,,24-20180304000000-11367-0.png,LEGA,,79,"28,93",,,79,"28,93",
01210000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,30,"10,98",,,30,"10,98",
01210000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,11,"4,02",,,11,"4,02",
01210000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01210000000,XX,,,,,,,,,,,
01210000000,CA,VALENTINA PRETATO,,,,70,"24,64",,,,,
01210000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,66,"24,17",,,66,"24,17",
01210000000,XX,,,,,,,,,,,
01210000000,CA,FRANCESCA BONOMO,,,,67,"23,59",,,,,
01210000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,42,"15,38",,,42,"15,38",
01210000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,15,"5,49",,,15,"5,49",
01210000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,3,"1,09",,,3,"1,09",
01210000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01210000000,XX,,,,,,,,,,,
01210000000,CA,PATRIZIA PRESBITERO,,,,12,"4,22",,,,,
01210000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,12,"4,39",,,12,"4,39",
01210000000,XX,,,,,,,,,,,
01210000000,CA,IGOR BOSONIN,,,,6,"2,11",,,,,
01210000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,6,"2,19",,,6,"2,19",
01210000000,XX,,,,,,,,,,,
01210000000,CA,CADIGIA ESTER PERINI,,,,4,"1,40",,,,,
01210000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,4,"1,46",,,4,"1,46",
01210000000,XX,,,,,,,,,,,
01210000000,CA,LUCA BARRA,,,,3,"1,05",,,,,
01210000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,3,"1,09",,,3,"1,09",
01210000000,XX,,,,,,,,,,,
01210000000,CA,DIEGO MARIA BILI,,,,2,"0,70",,,,,
01210000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,2,"0,73",,,2,"0,73",
01210000000,XX,,,,,,,,,,,
01210000000,TU,Uninominale,,,,284,"100,00",,,,,
01210000000,TP,Proporzionale,,,,273,"100,00",,"100,00",,,
01220000000,CA,ILARIA ROMANIELLO,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,ROSARIO FONDACARO,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,ERIKA MILANI,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,MARIA LETIZIA CAPPA,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,GIANNA PENTENERO,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,DAVIDE SOLAVAGIONE,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,CARLUCCIO GIACOMETTO DETTO CARLO,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01220000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,CA,SERAFINA TORCHITTI DETTA SARA,,,,-,-,,,,,
01220000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01220000000,XX,,,,,,,,,,,
01220000000,TU,Uninominale,,,,-,-,,,,,
01220000000,TP,Proporzionale,,,,-,-,,-,,,
01230000000,CA,ERIKA ELENA FAIENZA,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,ROBERTA CAVUOTI,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,PATRICK PAUTASSO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,ALDO CAVALLO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,LAURA POMPEO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,ALESSANDRO SPORTIELLO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,CLAUDIA PORCHIETTO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01230000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,CA,LUIGI INFANTINO,,,,-,-,,,,,
01230000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01230000000,XX,,,,,,,,,,,
01230000000,TU,Uninominale,,,,-,-,,,,,
01230000000,TP,Proporzionale,,,,-,-,,-,,,
01240000000,CA,LAURA ZOGGIA,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,FRANCO TRIVERO,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,MARIO SANTANIELLO,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,CLAUDIA CARELLA,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,MAGDA ANGELA ZANONI,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,ANGELA DI PASQUALE,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,DANIELA RUFFINO,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
01240000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,CA,FRANCO MILANESI,,,,-,-,,,,,
01240000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
01240000000,XX,,,,,,,,,,,
01240000000,TU,Uninominale,,,,-,-,,,,,
01240000000,TP,Proporzionale,,,,-,-,,-,,,
02110000000,CA,GRAZIELLA DELLA MADDALENA,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,FEDERICO FORNARO,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,RICCARDO MOLINARI,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-11367-0.png,LEGA,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,ELENA FAUSTA PICCININI,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,JAMILA JAKANI,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,SILVIA GAMBINO,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,MASSIMILIANO DI SCERNI,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11388-0.png,ITALIA AGLI ITALIANI,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,BRUNO MOGLIOTTI,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,CA,MARCELLA GRAZIANO,,,,-,-,,,,,
02110000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,-,-,,,-,-,
02110000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,-,-,,,-,-,
02110000000,XX,,,,,,,,,,,
02110000000,TU,Uninominale,,,,-,-,,,,,
02110000000,TP,Proporzionale,,,,-,-,,-,,,
02120000000,CA,ANDREA GIACCONE,,,,28,"57,14",,,,,
02120000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,12,"25,53",,,12,"25,53",
02120000000,LI,,24-20180304000000-11367-0.png,LEGA,,12,"25,53",,,12,"25,53",
02120000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,3,"6,38",,,3,"6,38",
02120000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
02120000000,XX,,,,,,,,,,,
02120000000,CA,ANGELA MOTTA,,,,8,"16,32",,,,,
02120000000,LI,,24-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,5,"10,63",,,5,"10,63",
02120000000,LI,,24-20180304000000-11403-0.png,+EUROPA,,2,"4,25",,,2,"4,25",
02120000000,LI,,24-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,1,"2,12",,,1,"2,12",
02120000000,LI,,24-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,-,-,,,-,-,
02120000000,XX,,,,,,,,,,,
02120000000,CA,FABIO DESILVESTRI,,,,8,"16,32",,,,,
02120000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,7,"14,89",,,7,"14,89",
02120000000,XX,,,,,,,,,,,
02120000000,CA,MARCO CASTALDO,,,,3,"6,12",,,,,
02120000000,LI,,24-20180304000000-11393-0.png,LIBERI E UGUALI,,3,"6,38",,,3,"6,38",
02120000000,XX,,,,,,,,,,,
02120000000,CA,PAOLO RIZZOLO,,,,1,"2,04",,,,,
02120000000,LI,,24-20180304000000-11381-0.png,PARTITO VALORE UMANO,,1,"2,12",,,1,"2,12",
02120000000,XX,,,,,,,,,,,
02120000000,CA,MARCO PEIRANO,,,,1,"2,04",,,,,
02120000000,LI,,24-20180304000000-11003-0.png,CASAPOUND ITALIA,,1,"2,12",,,1,"2,12",
02120000000,XX,,,,,,,,,,,
02120000000,CA,BARBARA FANTINO,,,,-,-,,,,,
02120000000,LI,,24-20180304000000-11372-0.png,POTERE AL POPOLO!,,-,-,,,-,-,
02120000000,XX,,,,,,,,,,,
02120000000,CA,FRANCESCO GIUSEPPE LICAUSI,,,,-,-,,,,,
02120000000,LI,,24-20180304000000-11388-0.png,ITALIA AGLI ITALIANI,,-,-,,,-,-,
02120000000,XX,,,,,,,,,,,
02120000000,CA,MARIA SALVATRICE AVVEDUTO,,,,-,-,,,,,
02120000000,LI,,24-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,-,-,,,-,-,
02120000000,XX,,,,,,,,,,,
02120000000,TU,Uninominale,,,,49,"100,00",,,,,
02120000000,TP,Proporzionale,,,,47,"100,00",,"100,00",,,
02130000000,CA,FLAVIO GASTALDI,,,,23,"56,09",,,,,
02130000000,LI,,24-20180304000000-11367-0.png,LEGA,,16,"40,00",,,16,"40,00",
02130000000,LI,,24-20180304000000-1112-0.png,FORZA ITALIA,,4,"10,00",,,4,"10,00",
02130000000,LI,,24-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,2,"5,00",,,2,"5,00",
02130000000,LI,,24-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,-,-,,,-,-,
02130000000,XX,,,,,,,,,,,
02130000000,CA,MIRELLA RAMONDA,,,,10,"24,39",,,,,
02130000000,LI,,24-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,10,"25,00",,,10,"25,00",
02130000000,XX,,,,,,,,,,,
