assemblea,codice,tipo,tipo_riga,cand_descr_riga,img_lista,descr_lista,link_cand_lista,voti,perc,eletto,perc_voti_liste,cifra_el,perc_cifra_el,seggi
Senato,01110000000,colleggioUninominale,CA,MARIA VIRGINIA TIRABOSCHI,,,,114088,"39,65",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11367-0.png,LEGA,,63223,"22,86",,,63223,"22,86",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-1112-0.png,FORZA ITALIA,,37115,"13,42",,,37115,"13,42",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11434-0.png,FRATELLI D'ITALIA CON GIORGIA MELONI,,9510,"3,43",,,9510,"3,43",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11402-0.png,NOI CON L'ITALIA - UDC,,1859,"0,67",,,1859,"0,67",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,GIUSEPPE MASCIARI DETTO PINO,,,,81112,"28,19",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11366-0.png,MOVIMENTO 5 STELLE,,77136,"27,89",,,77136,"27,89",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,ALBERTO AVETTA,,,,71588,"24,88",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-3456-0.png,PARTITO DEMOCRATICO,,56616,"20,47",,,56616,"20,47",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11403-0.png,+EUROPA,,9509,"3,43",,,9509,"3,43",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11412-0.png,CIVICA POPOLARE LORENZIN,,1116,"0,40",,,1116,"0,40",
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11373-0.png,ITALIA EUROPA INSIEME,,977,"0,35",,,977,"0,35",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,ALDO CORGIAT LOIA,,,,10178,"3,53",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11393-0.png,LIBERI E UGUALI,,9441,"3,41",,,9441,"3,41",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,ADRIANA MESSA,,,,2891,"1,00",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11003-0.png,CASAPOUND ITALIA,,2709,"0,97",,,2709,"0,97",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,BENEDETTO MALLEVADORE,,,,2723,"0,94",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11372-0.png,POTERE AL POPOLO!,,2605,"0,94",,,2605,"0,94",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,ROSSANO GIORELLO,,,,1822,"0,63",,,,,
Senato,01110000000,colleggioUninominale,LI,,25-20180304000000-11277-0.png,IL POPOLO DELLA FAMIGLIA,,1703,"0,61",,,1703,"0,61",
Senato,01110000000,colleggioUninominale,XX,,,,,,,,,,,
Senato,01110000000,colleggioUninominale,CA,NICOLA GIOVANNI ROMANIA,,,,1082,"0,37",,,,,
