codice,cand_descr_riga,voti,perc
08110000000,ARIANNA LAZZARINI,66645,"39,28"
08120000000,ALBERTO STEFANI,100714,"52,27"
08130000000,LORENA MILANATO,97740,"49,93"
08210000000,PIERANTONIO ZANETTIN,74181,"48,32"
08220000000,GERMANO RACCHELLA,95572,"52,39"
08230000000,MARIA CRISTINA CARETTA,88396,"50,83"
08310000000,ANTONIETTA GIACOMETTI,66409,"46,94"
08320000000,PAOLO PATERNOSTER,65623,"50,90"
08330000000,VITO COMENCINI,58345,"40,87"
08340000000,PIERGIORGIO CORTELAZZO,69605,"56,71"
08350000000,DAVIDE BENDINELLI,66327,"50,51"
09110000000,RENZO TONDO,45506,"38,17"
09120000000,GUIDO GERMANO PETTARIN,42495,"37,13"
09130000000,DANIELE MOSCHIONI,69594,"43,40"
09140000000,SANDRA SAVINO,61861,"47,89"
09150000000,VANNIA GAVA,76687,"46,22"
10110000000,GIORGIO MULE',66751,"46,07"
10120000000,SARA FOSCOLO,54785,"38,02"
10130000000,ROBERTO TRAVERSI,46142,"35,59"
10210000000,MARCO RIZZONE,44098,"32,82"
10220000000,ROBERTO BAGNASCO,68491,"41,48"
10230000000,MANUELA GAGLIARDI,53275,"37,37"
11110000000,SIMONA VIETINA,53756,"32,84"
11120000000,ALBERTO PAGANI,55151,"32,56"
11130000000,ELENA RAFFAELLI,59161,"35,17"
11140000000,MARCO DI MAIO,48473,"32,70"
11210000000,MAURA TOMASI,65286,"39,66"
11220000000,EMANUELE CESTARI,45351,"37,66"
11230000000,BEATRICE LORENZIN,58095,"36,83"
11240000000,BENEDETTA FIORINI,57240,"34,60"
11310000000,SERSE SOVERINI,46554,"33,49"
11320000000,FRANCESCO CRITELLI,46528,"32,15"
11330000000,ANDREA DE MARIA,54713,"37,22"
11340000000,GIANLUCA BENAMATI,53343,"35,26"
11410000000,ANTONELLA INCERTI,54975,"31,68"
11420000000,LAURA CAVANDOLI,44733,"35,13"
11430000000,GIOVANNI BATTISTA TOMBOLATO,49734,"43,08"
11440000000,TOMMASO FOTI,73599,"47,38"
11450000000,GRAZIANO DELRIO,44672,"35,99"
12110000000,GIORGIO SILLI,52460,"34,59"
12120000000,MAURIZIO CARRARA,54552,"37,26"
12130000000,DEBORAH BERGAMINI,58962,"37,43"
12140000000,RICCARDO ZUCCONI,62515,"37,78"
12210000000,EDOARDO ZIELLO,51258,"33,77"
12220000000,SUSANNA CENNI,50812,"34,10"
12230000000,ANDREA ROMANO,50760,"31,89"
12310000000,GABRIELE TOCCAFONDI,58712,"43,23"
12320000000,ROSA MARIA DI GIORGI,56565,"42,97"
12330000000,ROBERTO GIACHETTI,62427,"39,69"
12340000000,LUCA LOTTI,64252,"40,49"
12410000000,FELICE MAURIZIO D'ETTORE,56196,"35,13"
12420000000,PIETRO CARLO PADOAN,53457,"36,17"
12430000000,MARIO LOLINI,60331,"37,09"
13110000000,EMANUELE PRISCO,57997,"35,38"
13120000000,RICCARDO AUGUSTO MARCHETTI,66561,"37,43"
13130000000,RAFFAELE NEVI,63515,"37,45"
14110000000,ROBERTO CATALDI,54008,"37,55"
